[2022-03-02 10:33:22.236] [info]  # IPC Loggerar #
[2022-03-02 10:33:22.239] [info]  setCustomers(customersData): [object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
[2022-03-02 10:37:13.902] [info]  # IPC Logger #
[2022-03-02 10:37:13.908] [info]  setCustomers(customersData): [object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
[2022-03-02 10:39:38.275] [info]  # IPC Logger #
[2022-03-02 10:39:38.280] [info]  setCustomers(customersData): [object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
[2022-03-02 10:41:57.300] [info]  # IPC Logger #
[2022-03-02 10:41:57.303] [info]  setCustomers(customersData): [object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
[2022-03-02 11:00:29.929] [info]  # IPC Logger #
[2022-03-02 11:00:29.933] [info]  setCustomers(customersData): [object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
[2022-03-02 11:01:35.133] [info]  # IPC Logger #
[2022-03-02 11:01:35.139] [info]  setCustomers(customersData): [object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
[2022-03-04 11:56:40.993] [info]  # IPC Logger #
[2022-03-04 11:56:40.997] [info]  setCustomers(customersData): [object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
[2022-03-13 17:01:42.021] [info]  # IPC Logger #
[2022-03-13 17:01:42.031] [info]  setCustomers(customersData): [object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
[2022-03-13 17:01:44.829] [info]  # IPC Logger #
[2022-03-13 17:01:44.831] [info]  setCustomers(customersData): [object Object],[object Object],[object Object],[object Object],[object Object],[object Object]
